Edition,,US,US,US,US,US,US,US,UK,US,UK,CA,AU,US,CA,UK,AU,CA,US,CA,UK,AU,INTL,US,UK,US
What made my first kiss so awkward?,,,,,,,,,,,,,,t,t,t,t,t,t,t,t,t,t,t,t,t
What makes life worth living?,,,,,,,,,,,,,,,,,,,t,t,t,t,t,t,t,t
What makes me a true blue Aussie?,,,,,,,,,,,,,,,,,,,,,,t,,,,
What never fails to liven up the party?,,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t
What will always get you laid?,,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t
What will I bring back in time to convince people that I am a powerful wizard?,,t,t,t,t,t,t,t,t,t,t,t,t,,,,,,,,,,,,,
"What would grandma find disturbing, yet oddly charming?",,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t
What's a girl's best friend?,,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t
What's my anti-drug?,,t,t,t,t,t,t,t,,t,,t,t,,,,,,,,,,,,,
What's my secret power?,,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t
What's Teach for America using to inspire inner city students to succeed?,,t,t,t,t,t,t,t,,t,,t,,t,,,,,t,,,,,t,,t
What's that smell?,,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t
What's that sound?,,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t
What's the Canadian government using to inspire rural students to succeed?,,,,,,,,,,,,,,,t,,,t,,,,,,,,
What's the crustiest?,,t,t,t,t,,,,,,,,,,,,,,,,,,,,,
What's the most emo?,,t,t,t,t,t,t,t,t,t,t,t,t,,,,,,,,,,,,,
What's the new fad diet?,,t,t,t,t,t,t,t,t,t,t,t,t,,,,,,,,,,,,,
What's the next Happy Meal® toy?,,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,,,t,,,,t,
What's the next superhero/sidekick duo?,2,t,t,t,t,t,t,t,t,,,,,,,,,,,,,,,,,
What's there a ton of in heaven?,,t,t,t,t,t,t,t,t,t,t,t,,t,t,t,,t,t,t,t,,t,t,t,t
What's there a tonne of in heaven?,,,,,,,,,,,,,t,,,,t,,,,,t,,,,
"When all else fails, I can always masturbate to ______.",,,,,,,,,,,,,,,,,,,,,,,t,,,
"When I am a billionare, I shall erect a 20-meter statue to commemorate ______.",,,,,,,,,,,,,,,,,,,,,,,t,,,
"When I am a billionare, I shall erect a 20-metre statue to commemorate ______.",,,,,,,,,,,,,t,,,,t,,,t,,t,,,,
"When I am a billionare, I shall erect a 50-foot statue to commemorate ______.",,t,t,t,t,t,t,t,t,t,t,t,,t,t,t,,t,t,,t,,,t,t,t
"When I am President of the United States, I will create the Department of ______.",,t,t,t,t,t,t,t,,t,,t,,t,,,,,,,,,,,,
"When I am President, I will create the Department of ______.",,,,,,,,,,,,,,,,,,,t,,,,,t,,t
"When I am Prime Minister of Canada, I will create the Department of ______.",,,,,,,,,,,,,,,t,,,t,,,,,,,,
"When I am Prime Minister of Canada, I will create the Ministry of ______.",,,,,,,,,,,,,,,,,,,,t,,,,,,
"When I am Prime Minister of the United Kingdom, I will create the Ministry of ______.",,,,,,,,,t,,t,,,,,t,,,,,t,,,,t,
"When I am Prime Minister, I will create the Department of ______.",,,,,,,,,,,,,,,,,,,,,,t,,,,
"When I am Prime Minister, I will create the Ministry of ______.",,,,,,,,,,,,,t,,,,t,,,,,,t,,,
"When I pooped, what came out of my butt?",,,,,,,,,,,,,,,,,,,,,,,t,,,
"When I was tripping on acid, ______ turned into ______.",2,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,,t,t,t
"When I'm in prison, I'll have ______ smuggled in.",,t,t,t,,,,,,,,,,,,,,,,,,,,,,
"When Pharaoh remained unmoved, Moses called down a Plague of ______.",,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,,t,t,t
"When you get right down to it, ______ is just ______.",2,,,,,,,,,,,,,,,,,,,,,,t,,,
"While the United States raced the Soviet Union to the moon, the Mexican government funneled millions of pesos into research on ______.",,t,t,t,t,t,t,t,,t,,t,,t,t,,,t,t,t,,,,t,,
White people like ______.,,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,,t,t,t
Who stole the cookies from the cookie jar?,,t,t,t,,,,,,,,,,,,,,,,,,,,,,
Why am I sticky?,,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t
Why can't I sleep at night?,,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t
Why do I hurt all over?,,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t
"With enough time and pressure, ______ will turn into ______.",2,,,,,,,,,,,,,,,,,,,,,,t,,,
"Your persistence is admirable, my dear Prince. But you cannot win my heart with ______ alone.",,,,,,,,,,,,,,,,,,,,,,,t,,,
★✰✰✰✰ Do NOT go here! Found _____ in my fettuccine alfredo!,,,,,,,,,,,,,,,,,,,,,,,,,,t
Hulu's new reality show features twelve hot singles living with ______.,,,,,,,,,,,,,,,,,,,,,,,,,,t
"In Jordan Peele's new thriller, a young family discovers that ______ had really been ______ all along.",,,,,,,,,,,,,,,,,,,,,,,,,,t
Mitch McConnell can't cum without ______.,,,,,,,,,,,,,,,,,,,,,,,,,,t
Why is Brett so sweaty?,,,,,,,,,,,,,,,,,,,,,,,,,,t
